Country,Dollars,,,
Argentina,1390,,,
Australia,4492,,,
Austria,5138,,,
Belgium,4782,,,
Brazil,1392,,,
Canada,4600,,,
China,762,,,
Colombia,853,,,
Denmark,5083,,,
France,4542,,,
Germany,5357,,,
India,238,,,
Indonesia,369,,,
Iran,1262,,,
Italy,3351,,,
Japan,4405,,,
SouthKorea,2556,,,
Malaysia,1064,,,
Mexico,1009,,,
Netherlands,5313,,,
Nigeria,215,,,
Norway,6222,,,
Poland,1704,,,
Russia,1414,,,
SaudiArabia,3121,,,
SouthAfrica,1086,,,
Spain,3183,,,
Sweden,5299,,,
Switzerland,7583,,,
Thailand,610,,,
Turkey,996,,,
UnitedArabEmirates,2426,,,
UnitedKingdom,4145,,,
UnitedStates,9536,,,
Venezuela,106,,,
