State,MathSAT2018,AvgTeacherSalaries2017-18
Alabama,571,"50,239"
Alaska,544,"69,474"
Arizona,572,"47,746"
Arkansas,576,"49,017"
California,536,"81,126"
Colorado,506,"52,389"
Connecticut,519,"73,113"
Delaware,492,"60,484"
DistColumbia,480,"76,486"
Florida,493,"47,721"
Georgia,511,"56,329"
Hawaii,549,"57,866"
Idaho,493,"49,225"
Illinois,506,"65,776"
Indiana,539,"54,846"
Iowa,631,"56,790"
Kansas,631,"50,403"
Kentucky,618,"52,952"
Louisiana,595,"50,256"
Maine,501,"51,663"
Maryland,535,"69,761"
Massachusetts,563,"79,710"
Michigan,499,"62,702"
Minnesota,655,"57,782"
Mississippi,606,"43,107"
Missouri,629,"49,208"
Montana,592,"52,776"
Nebraska,623,"53,473"
Nevada,566,"57,812"
NewHampshire,528,"57,833"
NewJersey,547,"69,917"
NewMexico,540,"47,839"
NewYork,534,"83,585"
NorthCarolina,543,"50,861"
NorthDakota,643,"54,421"
Ohio,547,"58,000"
Oklahoma,521,"45,678"
Oregon,553,"63,143"
Pennsylvania,539,"67,398"
RhodeIsland,505,"66,758"
SouthCarolina,523,"51,027"
SouthDakota,618,"47,944"
Tennessee,607,"50,900"
Texas,512,"53,167"
Utah,612,"47,604"
Vermont,554,"58,527"
Virginia,550,"51,265"
Washington,538,"55,175"
WestVirginia,486,"45,642"
Wisconsin,653,"55,895"
Wyoming,625,"58,578"
