Date,Value,Anomaly,GroundhogSawShadow,AboveAvg
189803,42,6.1,Y,Y
190003,29.3,-6.6,Y,N
190103,35.1,-0.8,Y,N
190203,38.8,2.9,N,Y
190303,44.5,8.6,Y,Y
190403,34,-1.9,Y,N
190503,36.9,1,Y,Y
190603,29.1,-6.8,Y,N
190703,39.5,3.6,Y,Y
190803,38.4,2.5,Y,Y
190903,33.1,-2.8,Y,N
191003,42.6,6.7,Y,Y
191103,32.8,-3.1,Y,N
191203,31.5,-4.4,Y,N
191303,40,4.1,Y,Y
191403,31.7,-4.2,Y,N
191503,30.3,-5.6,Y,N
191603,28.2,-7.7,Y,N
191703,35.4,-0.5,Y,N
191803,39.3,3.4,Y,Y
191903,38.6,2.7,Y,Y
192003,36.7,0.8,Y,Y
192103,45.4,9.5,Y,Y
192203,37.1,1.2,Y,Y
192303,34.3,-1.6,Y,N
192403,33.5,-2.4,Y,N
192503,38.1,2.2,Y,Y
192603,30.2,-5.7,Y,N
192703,39.2,3.3,Y,Y
192803,34,-1.9,Y,N
192903,41,5.1,Y,Y
193003,35.1,-0.8,Y,N
193103,33.7,-2.2,Y,N
193203,30.8,-5.1,Y,N
193303,33.8,-2.1,Y,N
193403,32.1,-3.8,N,N
193503,40,4.1,Y,Y
193603,39.4,3.5,Y,Y
193703,31.4,-4.5,Y,N
193803,40.1,4.2,Y,Y
193903,35.6,-0.3,Y,N
194003,29.5,-6.4,Y,N
194103,28.9,-7,Y,N
194403,32.7,-3.2,Y,N
194503,46.2,10.3,Y,Y
194603,45.3,9.4,Y,Y
194703,30.3,-5.6,Y,N
194803,38.3,2.4,Y,Y
194903,36.8,0.9,Y,Y
195003,30.8,-5.1,N,N
195103,36.1,0.2,Y,Y
195203,34.6,-1.3,Y,N
195303,37.9,2,Y,Y
195403,35,-0.9,Y,N
195503,37.2,1.3,Y,Y
195603,32.9,-3,Y,N
195703,36.1,0.2,Y,Y
195803,33.7,-2.2,Y,N
195903,34.1,-1.8,Y,N
196003,24.5,-11.4,Y,N
196103,37.1,1.2,Y,Y
196203,34.2,-1.7,Y,N
196303,37.5,1.6,Y,Y
196403,36.9,1,Y,Y
196503,32.1,-3.8,Y,N
196603,37.5,1.6,Y,Y
196703,34.4,-1.5,Y,N
196803,38.4,2.5,Y,Y
196903,32.7,-3.2,Y,N
197003,31.6,-4.3,N,N
197103,32.5,-3.4,Y,N
197203,33.1,-2.8,Y,N
197303,42.9,7,Y,Y
197403,36.9,1,Y,Y
197503,33.7,-2.2,N,N
197603,40.8,4.9,Y,Y
197703,41.2,5.3,Y,Y
197803,31.9,-4,Y,N
197903,39.4,3.5,Y,Y
198003,33.3,-2.6,Y,N
198103,34.1,-1.8,Y,N
198203,34.9,-1,Y,N
198303,38.7,2.8,N,Y
198403,29.5,-6.4,Y,N
198503,38.3,2.4,Y,Y
198603,38,2.1,N,Y
198703,39,3.1,Y,Y
198803,37.2,1.3,N,Y
198903,36.7,0.8,Y,Y
199003,40.2,4.3,N,Y
199103,39.5,3.6,Y,Y
199203,34.5,-1.4,Y,N
199303,32.8,-3.1,Y,N
199403,33.8,-2.1,Y,N
199503,39.7,3.8,N,Y
199603,31.8,-4.1,Y,N
199703,37.6,1.7,N,Y
199803,39.7,3.8,Y,Y
199903,34.2,-1.7,N,N
200003,42.6,6.7,Y,Y
200103,33.3,-2.6,Y,N
200203,38.2,2.3,Y,Y
200303,37.2,1.3,Y,Y
200403,39.5,3.6,Y,Y
200503,32.3,-3.6,Y,N
200603,37,1.1,Y,Y
200703,37.4,1.5,N,Y
200803,35.6,-0.3,Y,N
200903,38.2,2.3,Y,Y
201003,42,6.1,Y,Y
201103,36.3,0.4,N,Y
201203,47.7,11.8,Y,Y
201303,33.9,-2,N,N
201403,30.3,-5.6,Y,N
201503,31.6,-4.3,Y,N
201603,43.4,7.5,N,Y
201703,35.3,-0.5,Y,Y
201803,33.1,-2.7,Y,Y
201903,34.7,-1.1,N,N
