Group,Subject,Stand,Sit,Lie
1,1,511.1,370.3,555.5
1,2,607.925,374.512,450.65
1,3,319.212,582.138,537.362
1,4,584.644,357.144,489.269
1,5,578.869,348.994,514.081
1,6,543.388,385.312,506.5
1,7,677.188,268.188,467.7
1,8,555.656,322.219,567.006
1,9,374.831,537.031,531.431
1,10,504.7,528.838,396.962
2,11,260.244,646.281,521.044
2,12,464.756,456.644,514.931
2,13,367.138,578.662,563.3
2,14,413.667,463.333,532.208
2,15,347.375,567.556,504.931
2,16,416.531,567.556,448.856
2,17,358.65,621.262,460.55
2,18,267.344,646.181,509.981
2,19,410.631,572.769,448.706
2,20,426.356,591.369,412.919
