MPG,EngineDisplacement,Type,IndType
16,5.2,Car,0
32,2,Car,0
22,3,Car,0
24,3,Car,0
21,3.5,Car,0
25,2,Car,0
20,3,Car,0
19,2.5,Car,0
22,3,Car,0
27,2,Car,0
24,3,Car,0
17,3.9,Car,0
15,5.2,Car,0
21,3.5,Car,0
30,2,Car,0
28,2,Car,0
24,3,Car,0
32,2,Car,0
18,4,Car,0
26,3.5,Car,0
26,2,Car,0
27,2,Car,0
31,2,Car,0
34,2,Car,0
29,2,Car,0
21,3,Car,0
16,5.3,Truck,1
14,5.7,Truck,1
17,4,Truck,1
23,2,Truck,1
22,2.5,Truck,1
16,5.6,Truck,1
23,2.5,Truck,1
26,1.5,Truck,1
21,3.5,Truck,1
23,2,Truck,1
19,3.5,Truck,1
21,2,Truck,1
27,1.3,Truck,1
25,2,Truck,1
17,4,Truck,1
17,6.2,Truck,1
19,3.6,Truck,1
28,2.5,Truck,1
18,4.4,Truck,1
25,2,Truck,1
20,3.6,Truck,1
22,2,Truck,1
