State,y,x1,x2
Alabama,571,5.0239,6
Alaska,544,6.9474,43
Arizona,572,4.7746,29
Arkansas,576,4.9017,5
California,536,8.1126,60
Colorado,506,5.2389,100
Connecticut,519,7.3113,100
Delaware,492,6.0484,100
DistColumbia,480,7.6486,92
Florida,493,4.7721,97
Georgia,511,5.6329,70
Hawaii,549,5.7866,56
Idaho,493,4.9225,100
Illinois,506,6.5776,99
Indiana,539,5.4846,67
Iowa,631,5.679,3
Kansas,631,5.0403,4
Kentucky,618,5.2952,4
Louisiana,595,5.0256,4
Maine,501,5.1663,99
Maryland,535,6.9761,76
Massachusetts,563,7.971,80
Michigan,499,6.2702,100
Minnesota,655,5.7782,4
Mississippi,606,4.3107,3
Missouri,629,4.9208,4
Montana,592,5.2776,10
Nebraska,623,5.3473,3
Nevada,566,5.7812,23
NewHampshire,528,5.7833,96
NewJersey,547,6.9917,82
NewMexico,540,4.7839,16
NewYork,534,8.3585,79
NorthCarolina,543,5.0861,52
NorthDakota,643,5.4421,2
Ohio,547,5.8,18
Oklahoma,521,4.5678,8
Oregon,553,6.3143,48
Pennsylvania,539,6.7398,70
RhodeIsland,505,6.6758,97
SouthCarolina,523,5.1027,55
SouthDakota,618,4.7944,3
Tennessee,607,5.09,6
Texas,512,5.3167,66
Utah,612,4.7604,4
Vermont,554,5.8527,64
Virginia,550,5.1265,68
Washington,538,5.5175,69
WestVirginia,486,4.5642,28
Wisconsin,653,5.5895,3
Wyoming,625,5.8578,3
