log(MR),Caterp,Analyzer
1.05414,1,A
1.05349,1,A
1.51458,1,A
1.60703,1,A
2.29635,1,A
2.43778,1,A
0.96723,1,B
1.05349,1,B
1.4681,1,B
1.71988,1,B
2.25738,1,B
2.39653,1,B
1.07951,1,C
1.05349,1,C
1.4048,1,C
1.82542,1,C
2.22946,1,C
2.3705,1,C
0.85008,2,A
1.23874,2,A
1.51658,2,A
1.76654,2,A
1.84398,2,A
2.34144,2,A
0.80146,2,B
1.23874,2,B
1.54473,2,B
1.66243,2,B
1.86356,2,B
2.35887,2,B
0.87031,2,C
1.23874,2,C
1.57805,2,C
1.7779,2,C
1.90494,2,C
2.367,2,C
0.98246,3,A
1.39657,3,A
1.51503,3,A
2.06544,3,A
2.29323,3,A
2.39237,3,A
1.01148,3,B
1.31775,3,B
1.51503,3,B
2.05853,3,B
2.2839,3,B
2.40497,3,B
1.06757,3,C
1.47269,3,C
1.51503,3,C
2.06229,3,C
2.26683,3,C
2.48163,3,C
