State,PctSAT
Alabama,6
Alaska,43
Arizona,29
Arkansas,5
California,60
Colorado,100
Connecticut,100
Delaware,100
DistColumbia,92
Florida,97
Georgia,70
Hawaii,56
Idaho,100
Illinois,99
Indiana,67
Iowa,3
Kansas,4
Kentucky,4
Louisiana,4
Maine,99
Maryland,76
Massachusetts,80
Michigan,100
Minnesota,4
Mississippi,3
Missouri,4
Montana,10
Nebraska,3
Nevada,23
NewHampshire,96
NewJersey,82
NewMexico,16
NewYork,79
NorthCarolina,52
NorthDakota,2
Ohio,18
Oklahoma,8
Oregon,48
Pennsylvania,70
RhodeIsland,97
SouthCarolina,55
SouthDakota,3
Tennessee,6
Texas,66
Utah,4
Vermont,64
Virginia,68
Washington,69
WestVirginia,28
Wisconsin,3
Wyoming,3
